,keywords
27,"{'gig': 0.391, 'phones': 0.357, 'mobile': 0.318, 'phone': 0.249, 'video': 0.238}"
28,"{'clarke': 0.277, 'terror': 0.273, 'powers': 0.263, 'suspects': 0.257, 'human': 0.226}"
29,"{'carpenter': 0.553, 'hill': 0.511, 'escape': 0.216, 'film': 0.156, 'assistant': 0.128}"
30,"{'parker': 0.489, 'prince': 0.456, 'charles': 0.327, 'couple': 0.178, 'queen': 0.163}"
31,"{'firefox': 0.652, 'browser': 0.339, 'explorer': 0.23, 'microsoft': 0.21, 'ie': 0.187}"
32,"{'ice': 0.733, 'celebrity': 0.21, 'strictly': 0.165, 'vote': 0.158, 'stars': 0.158}"
33,"{'osbourne': 0.442, 'family': 0.327, 'mtv': 0.291, 'sharon': 0.214, 'series': 0.179}"
34,"{'marsh': 0.509, 'spitzer': 0.374, 'guilty': 0.352, 'insurance': 0.294, 'investigation': 0.259}"
35,"{'mp': 0.358, 'standards': 0.236, 'committee': 0.212, 'association': 0.206, 'constituency': 0.19}"
36,"{'nintendo': 0.446, 'console': 0.33, 'ship': 0.308, 'ds': 0.293, 'psp': 0.284}"
37,"{'hendrix': 0.746, 'museum': 0.215, 'guitarist': 0.213, 'moved': 0.195, 'house': 0.168}"
38,"{'donations': 0.414, 'parties': 0.414, 'cap': 0.261, 'political': 0.219, 'commission': 0.2}"
39,"{'germany': 0.305, 'economy': 0.25, 'german': 0.228, 'eurozone': 0.221, 'rates': 0.221}"
40,"{'school': 0.402, 'pupils': 0.383, 'education': 0.338, 'local': 0.197, 'penalty': 0.195}"
41,"{'federer': 0.541, 'ljubicic': 0.408, 'roger': 0.23, 'dubai': 0.187, 'suddenly': 0.177}"
42,"{'nationwide': 0.378, 'prices': 0.374, 'bank': 0.281, 'housing': 0.253, 'house': 0.226}"
43,"{'secs': 0.6, 'scott': 0.278, 'circuit': 0.23, 'medal': 0.196, 'solid': 0.193}"
44,"{'reserve': 0.4, 'network': 0.347, 'wireless': 0.281, 'foster': 0.192, 'staff': 0.191}"
45,"{'music': 0.498, 'kapranos': 0.405, 'musicians': 0.243, 'listen': 0.175, 'franz': 0.169}"
46,"{'jamieson': 0.581, 'clubs': 0.361, 'ms': 0.246, 'rangers': 0.18, 'celtic': 0.171}"
47,"{'tps': 0.504, 'calls': 0.296, 'marketing': 0.295, 'party': 0.234, 'voting': 0.199}"
48,"{'children': 0.611, 'prof': 0.331, 'green': 0.298, 'oxford': 0.188, 'appointed': 0.171}"
49,"{'japanese': 0.327, 'japan': 0.29, 'recovery': 0.211, 'confidence': 0.2, 'shares': 0.177}"
50,"{'lewsey': 0.446, 'ball': 0.409, 'try': 0.272, 'kaplan': 0.241, 'turnover': 0.228}"
51,"{'pension': 0.496, 'pensions': 0.323, 'workers': 0.245, 'unions': 0.245, 'strike': 0.235}"
52,"{'bonus': 0.383, 'life': 0.334, 'insurer': 0.301, 'profits': 0.295, 'stock': 0.285}"
53,"{'allied': 0.557, 'bn': 0.299, 'food': 0.249, 'euros': 0.231, 'drinks': 0.213}"
54,"{'rangers': 0.516, 'ferguson': 0.395, 'blackburn': 0.295, 'williams': 0.213, 'transfer': 0.181}"
55,"{'winter': 0.521, 'energy': 0.262, 'deaths': 0.241, 'pensioners': 0.222, 'households': 0.212}"
56,"{'ukraine': 0.635, 'yushchenko': 0.413, 'viktor': 0.227, 'eu': 0.193, 'brussels': 0.145}"
57,"{'lions': 0.351, 'henson': 0.262, 'white': 0.198, 'italy': 0.189, 'player': 0.186}"
58,"{'kirwan': 0.283, 'scotland': 0.213, 'simon': 0.192, 'taylor': 0.189, 'webster': 0.185}"
59,"{'drug': 0.437, 'patients': 0.304, 'heart': 0.277, 'risk': 0.211, 'drugs': 0.173}"
60,"{'telegraph': 0.518, 'journalists': 0.334, 'newspapers': 0.284, 'colour': 0.224, 'readers': 0.169}"
61,"{'robinson': 0.509, 'australia': 0.281, 'league': 0.265, 'rugby': 0.23, 'england': 0.212}"
62,"{'tobacco': 0.671, 'smoking': 0.288, 'bn': 0.214, 'court': 0.208, 'reynolds': 0.186}"
63,"{'miss': 0.3, 'body': 0.252, 'return': 0.21, 'dementieva': 0.197, 'donate': 0.194}"
64,"{'india': 0.447, 'power': 0.433, 'debut': 0.248, 'largest': 0.236, 'shares': 0.227}"
65,"{'bt': 0.566, 'broadband': 0.436, 'lines': 0.262, 'connections': 0.249, 'phone': 0.151}"
66,"{'fiat': 0.72, 'gm': 0.535, 'stake': 0.138, 'sell': 0.12, 'deadline': 0.115}"
67,"{'pops': 0.688, 'programme': 0.265, 'audience': 0.225, 'music': 0.21, 'lovers': 0.152}"
68,"{'msn': 0.385, 'blogs': 0.377, 'blogging': 0.303, 'microsoft': 0.276, 'web': 0.2}"
69,"{'indonesia': 0.407, 'debt': 0.361, 'paris': 0.329, 'club': 0.261, 'aid': 0.259}"
70,"{'waiting': 0.401, 'wales': 0.312, 'dr': 0.306, 'lists': 0.299, 'health': 0.294}"
71,"{'singapore': 0.537, 'growth': 0.286, 'quarter': 0.25, 'economy': 0.24, 'fourth': 0.201}"
72,"{'donations': 0.569, 'party': 0.276, 'parties': 0.249, 'sum': 0.216, 'gifts': 0.166}"
73,"{'students': 0.531, 'rugby': 0.378, 'welsh': 0.291, 'representative': 0.261, 'wales': 0.219}"
74,"{'manufacturing': 0.415, 'childcare': 0.273, 'sector': 0.262, 'wages': 0.249, 'decent': 0.233}"
75,"{'disabled': 0.342, 'gear': 0.273, 'car': 0.261, 'electronic': 0.224, 'rally': 0.207}"
76,"{'yukos': 0.599, 'oil': 0.223, 'baikal': 0.185, 'bankruptcy': 0.175, 'yuganskneftegas': 0.171}"
77,"{'break': 0.481, 'hodgson': 0.412, 'winter': 0.297, 'league': 0.227, 'champions': 0.209}"
78,"{'connor': 0.319, 'driscoll': 0.297, 'horgan': 0.224, 'arcy': 0.224, 'easterby': 0.224}"
79,"{'khodorkovsky': 0.562, 'charges': 0.278, 'yukos': 0.264, 'court': 0.231, 'russian': 0.147}"
80,"{'officials': 0.263, 'sec': 0.257, 'practices': 0.241, 'telecommunications': 0.239, 'agreed': 0.237}"
81,"{'uefa': 0.287, 'sacked': 0.282, 'cup': 0.276, 'coach': 0.274, 'chelsea': 0.222}"
82,"{'straw': 0.389, 'bus': 0.362, 'region': 0.295, 'pakistan': 0.283, 'india': 0.261}"
83,"{'fox': 0.63, 'corp': 0.487, 'shares': 0.26, 'entertainment': 0.146, 'cents': 0.141}"
84,"{'film': 0.606, 'festival': 0.307, 'starring': 0.219, 'screening': 0.181, 'convicted': 0.171}"
85,"{'hague': 0.771, 'ambition': 0.205, 'party': 0.17, 'front': 0.159, 'bench': 0.143}"
86,"{'bn': 0.326, 'brown': 0.309, 'extra': 0.259, 'poverty': 0.233, 'international': 0.191}"
87,"{'dam': 0.478, 'construction': 0.338, 'projects': 0.304, 'environmental': 0.26, 'beijing': 0.208}"
88,"{'band': 0.282, 'music': 0.256, 'rock': 0.234, 'leicester': 0.195, 'album': 0.177}"
89,"{'rates': 0.503, 'bank': 0.397, 'slowdown': 0.287, 'england': 0.228, 'hold': 0.194}"
90,"{'matches': 0.375, 'hantuchova': 0.264, 'blake': 0.26, 'doubles': 0.237, 'defeated': 0.235}"
91,"{'united': 0.351, 'knee': 0.343, 'return': 0.222, 'following': 0.211, 'substitute': 0.197}"
92,"{'answer': 0.406, 'lord': 0.368, 'goldsmith': 0.367, 'attorney': 0.247, 'advice': 0.239}"
93,"{'sevens': 0.451, 'award': 0.312, 'south': 0.293, 'rugby': 0.284, 'african': 0.236}"
94,"{'rights': 0.555, 'human': 0.507, 'khan': 0.295, 'amnesty': 0.254, 'movement': 0.197}"
95,"{'johansson': 0.473, 'dent': 0.473, 'match': 0.189, 'survived': 0.161, 'argentine': 0.159}"
96,"{'crude': 0.479, 'barrel': 0.306, 'oil': 0.266, 'weather': 0.263, 'winter': 0.261}"
97,"{'ireland': 0.395, 'england': 0.267, 'lewsey': 0.186, 'hodgson': 0.171, 'corner': 0.167}"
98,"{'recession': 0.379, 'japan': 0.264, 'economy': 0.221, 'growth': 0.211, 'technical': 0.193}"
99,"{'west': 0.493, 'hop': 0.283, 'hip': 0.272, 'album': 0.263, 'rapper': 0.232}"
100,"{'audience': 0.421, 'share': 0.278, 'channel': 0.266, 'january': 0.251, 'television': 0.234}"
101,"{'kuznetsova': 0.36, 'williams': 0.231, 'davenport': 0.217, 'beijing': 0.205, 'fighting': 0.173}"
102,"{'lisbon': 0.626, 'targets': 0.329, 'economic': 0.264, 'report': 0.216, 'eu': 0.197}"
103,"{'register': 0.347, 'hague': 0.303, 'paid': 0.229, 'salary': 0.213, 'speeches': 0.211}"
104,"{'ethnic': 0.459, 'howard': 0.288, 'minorities': 0.235, 'communities': 0.203, 'tory': 0.193}"
105,"{'boxes': 0.496, 'sky': 0.386, 'cards': 0.293, 'viewers': 0.25, 'content': 0.219}"
106,"{'mcclaren': 0.625, 'fantastic': 0.314, 'uefa': 0.254, 'draw': 0.197, 'experience': 0.177}"
107,"{'idol': 0.43, 'winner': 0.222, 'writers': 0.188, 'agent': 0.186, 'brother': 0.186}"
108,"{'japan': 0.458, 'rugby': 0.427, 'host': 0.357, 'hong': 0.236, 'kong': 0.227}"
109,"{'hop': 0.425, 'millan': 0.411, 'hip': 0.409, 'spanish': 0.376, 'rap': 0.28}"
110,"{'deficit': 0.362, 'bn': 0.253, 'imports': 0.251, 'record': 0.221, 'gap': 0.221}"
111,"{'jay': 0.674, 'hop': 0.234, 'hip': 0.225, 'album': 0.186, 'rap': 0.16}"
112,"{'champion': 0.241, 'round': 0.237, 'french': 0.231, 'am': 0.204, 'qatar': 0.185}"
113,"{'festival': 0.37, 'films': 0.351, 'european': 0.289, 'berlin': 0.213, 'cinema': 0.182}"
114,"{'beckham': 0.442, 'real': 0.388, 'relief': 0.342, 'season': 0.253, 'madrid': 0.219}"
115,"{'beach': 0.386, 'producer': 0.275, 'terry': 0.233, 'bruce': 0.221, 'boys': 0.206}"
116,"{'film': 0.448, 'animation': 0.289, 'takings': 0.279, 'japanese': 0.214, 'daily': 0.209}"
117,"{'labour': 0.315, 'chancellor': 0.277, 'conservative': 0.225, 'cuts': 0.188, 'party': 0.183}"
118,"{'james': 0.434, 'duff': 0.318, 'lampard': 0.282, 'chelsea': 0.265, 'gudjohnsen': 0.23}"
119,"{'mutu': 0.525, 'drugs': 0.408, 'chelsea': 0.4, 'decision': 0.172, 'fifa': 0.167}"
120,"{'roberts': 0.338, 'revival': 0.326, 'actor': 0.233, 'role': 0.198, 'star': 0.195}"
121,"{'cunningham': 0.583, 'labour': 0.273, 'agriculture': 0.248, 'blair': 0.222, 'jack': 0.201}"
122,"{'gm': 0.606, 'recall': 0.322, 'vehicles': 0.309, 'safety': 0.219, 'model': 0.193}"
123,"{'screensaver': 0.474, 'spam': 0.451, 'lycos': 0.369, 'sites': 0.28, 'websites': 0.199}"
124,"{'reddy': 0.579, 'rupees': 0.385, 'dr': 0.352, 'profits': 0.216, 'sales': 0.215}"
125,"{'production': 0.399, 'petrol': 0.273, 'prices': 0.272, 'crude': 0.253, 'texas': 0.249}"
126,"{'patents': 0.706, 'ibm': 0.508, 'software': 0.186, 'intellectual': 0.114, 'source': 0.113}"
127,"{'benitez': 0.504, 'blame': 0.364, 'liverpool': 0.308, 'draw': 0.19, 'chances': 0.189}"
128,"{'csa': 0.528, 'agency': 0.362, 'payments': 0.223, 'committee': 0.218, 'system': 0.218}"
129,"{'davenport': 0.558, 'williams': 0.452, 'title': 0.198, 'kept': 0.168, 'looked': 0.163}"
130,"{'seafarers': 0.598, 'cards': 0.308, 'ship': 0.212, 'crystal': 0.2, 'convention': 0.189}"
131,"{'films': 0.363, 'film': 0.314, 'production': 0.286, 'drop': 0.217, 'tax': 0.184}"
132,"{'wales': 0.48, 'williams': 0.36, 'ruddock': 0.246, 'davies': 0.226, 'flanker': 0.221}"
133,"{'telecom': 0.622, 'france': 0.388, 'orange': 0.254, 'euros': 0.25, 'bn': 0.194}"
134,"{'dollar': 0.507, 'euro': 0.28, 'chicago': 0.26, 'trading': 0.204, 'schroeder': 0.196}"
135,"{'digital': 0.294, 'content': 0.279, 'drm': 0.27, 'media': 0.234, 'commission': 0.218}"
136,"{'tune': 0.454, 'theme': 0.414, 'singer': 0.211, 'lyrics': 0.163, 'guitar': 0.159}"
137,"{'metal': 0.477, 'offer': 0.217, 'fresh': 0.196, 'levels': 0.171, 'toughest': 0.129}"
138,"{'safin': 0.565, 'finals': 0.295, 'couldn': 0.238, 'tennis': 0.224, 'titles': 0.204}"
139,"{'poverty': 0.393, 'poor': 0.326, 'distribution': 0.303, 'subsidies': 0.24, 'trillion': 0.213}"
140,"{'insurance': 0.34, 'exposure': 0.336, 'insurers': 0.261, 'damage': 0.194, 'lanka': 0.192}"
141,"{'tobacco': 0.492, 'smoking': 0.41, 'firms': 0.211, 'prosecutors': 0.198, 'court': 0.178}"
142,"{'mac': 0.591, 'mini': 0.467, 'apple': 0.382, 'fogg': 0.18, 'computer': 0.14}"
143,"{'greene': 0.693, 'francis': 0.281, 'race': 0.243, 'title': 0.176, 'lane': 0.14}"
144,"{'wong': 0.516, 'blind': 0.311, 'colour': 0.293, 'software': 0.289, 'student': 0.247}"
145,"{'industrial': 0.245, 'month': 0.235, 'unemployment': 0.234, 'demand': 0.23, 'output': 0.229}"
146,"{'bellamy': 0.493, 'ball': 0.335, 'celtic': 0.321, 'thompson': 0.308, 'juninho': 0.273}"
147,"{'theatre': 0.357, 'named': 0.31, 'boys': 0.298, 'bennett': 0.263, 'suddenly': 0.247}"
148,"{'roddick': 0.404, 'moya': 0.371, 'clay': 0.309, 'davis': 0.287, 'spain': 0.23}"
149,"{'voip': 0.338, 'phones': 0.208, 'fixed': 0.198, 'operators': 0.189, 'mobile': 0.185}"
150,"{'greek': 0.44, 'iaaf': 0.302, 'kenteris': 0.235, 'thanou': 0.235, 'federation': 0.209}"
151,"{'andreas': 0.33, 'xbox': 0.323, 'sales': 0.319, 'ps': 0.26, 'san': 0.256}"
152,"{'oaten': 0.348, 'lib': 0.338, 'inquiry': 0.3, 'nanny': 0.289, 'visa': 0.263}"
153,"{'economy': 0.275, 'confidence': 0.271, 'german': 0.267, 'index': 0.236, 'february': 0.168}"
154,"{'google': 0.587, 'feature': 0.281, 'users': 0.25, 'amazon': 0.205, 'link': 0.176}"
155,"{'lee': 0.56, 'stan': 0.468, 'marvel': 0.297, 'comic': 0.258, 'spider': 0.174}"
156,"{'operation': 0.286, 'blacks': 0.242, 'lot': 0.195, 'rugby': 0.176, 'training': 0.172}"
157,"{'sales': 0.572, 'gm': 0.383, 'ford': 0.277, 'vehicles': 0.244, 'toyota': 0.232}"
158,"{'businesses': 0.391, 'business': 0.326, 'broadband': 0.231, 'communication': 0.207, 'commerce': 0.182}"
159,"{'orange': 0.694, 'colour': 0.29, 'mobile': 0.21, 'founder': 0.198, 'service': 0.174}"
160,"{'green': 0.312, 'female': 0.256, 'video': 0.244, 'osbourne': 0.218, 'black': 0.215}"
161,"{'labour': 0.337, 'howard': 0.321, 'party': 0.281, 'tories': 0.257, 'election': 0.189}"
162,"{'custody': 0.424, 'vulnerable': 0.341, 'prison': 0.221, 'committee': 0.217, 'mental': 0.205}"
163,"{'musical': 0.487, 'spend': 0.417, 'wonderful': 0.27, 'stern': 0.228, 'film': 0.216}"
164,"{'houston': 0.535, 'ukip': 0.483, 'suspended': 0.319, 'candidate': 0.248, 'views': 0.171}"
165,"{'index': 0.342, 'optimism': 0.291, 'gdp': 0.281, 'election': 0.231, 'growth': 0.228}"
166,"{'musical': 0.388, 'don': 0.241, 'dinner': 0.228, 'attended': 0.223, 'opera': 0.217}"
167,"{'lord': 0.648, 'woolf': 0.445, 'inquiry': 0.269, 'judge': 0.256, 'chancellor': 0.166}"
168,"{'blair': 0.394, 'brown': 0.355, 'prime': 0.218, 'minister': 0.213, 'peston': 0.188}"
169,"{'film': 0.233, 'spotless': 0.229, 'eternal': 0.226, 'sunshine': 0.226, 'neverland': 0.215}"
170,"{'blair': 0.358, 'fox': 0.28, 'labour': 0.257, 'tory': 0.214, 'election': 0.188}"
171,"{'baros': 0.439, 'newcastle': 0.327, 'liverpool': 0.29, 'garcia': 0.261, 'yards': 0.227}"
172,"{'bank': 0.392, 'economy': 0.31, 'australia': 0.256, 'rate': 0.226, 'australian': 0.19}"
173,"{'chamber': 0.374, 'hunting': 0.312, 'offence': 0.284, 'hunt': 0.247, 'commons': 0.225}"
174,"{'bill': 0.423, 'decisions': 0.284, 'doctors': 0.235, 'mps': 0.213, 'treatment': 0.208}"
175,"{'china': 0.509, 'yuan': 0.325, 'bn': 0.315, 'tax': 0.255, 'deficit': 0.203}"
176,"{'carry': 0.672, 'theatre': 0.212, 'appeared': 0.193, 'films': 0.163, 'agent': 0.153}"
177,"{'yelling': 0.371, 'km': 0.332, 'cross': 0.327, 'march': 0.268, 'race': 0.234}"
178,"{'yukos': 0.571, 'menatep': 0.448, 'yugansk': 0.234, 'russian': 0.217, 'bn': 0.168}"
179,"{'listing': 0.443, 'stadium': 0.305, 'clubs': 0.259, 'club': 0.233, 'season': 0.182}"
180,"{'keegan': 0.619, 'norwich': 0.258, 'city': 0.241, 'premiership': 0.206, 'nigel': 0.179}"
181,"{'simonetti': 0.534, 'blog': 0.325, 'ms': 0.274, 'airline': 0.244, 'delta': 0.213}"
182,"{'robben': 0.461, 'barcelona': 0.258, 'foot': 0.242, 'll': 0.194, 'running': 0.171}"
183,"{'xbox': 0.337, 'damage': 0.311, 'minor': 0.297, 'microsoft': 0.278, 'consoles': 0.262}"
184,"{'sony': 0.465, 'pro': 0.36, 'award': 0.307, 'pc': 0.278, 'products': 0.215}"
185,"{'rain': 0.435, 'nadal': 0.429, 'match': 0.323, 'seed': 0.23, 'spanish': 0.228}"
186,"{'lse': 0.571, 'boerse': 0.4, 'deutsche': 0.327, 'euronext': 0.286, 'offer': 0.158}"
187,"{'martinez': 0.556, 'match': 0.394, 'title': 0.312, 'feels': 0.281, 'thai': 0.179}"
188,"{'drinking': 0.521, 'binge': 0.409, 'mcconnell': 0.385, 'drunk': 0.368, 'drinks': 0.184}"
189,"{'album': 0.314, 'grammy': 0.303, 'vocal': 0.277, 'song': 0.236, 'keys': 0.208}"
190,"{'kinnock': 0.584, 'lords': 0.496, 'reform': 0.331, 'advocates': 0.177, 'democratic': 0.165}"
191,"{'budget': 0.368, 'spending': 0.288, 'cuts': 0.23, 'federal': 0.229, 'borrowing': 0.179}"
192,"{'book': 0.325, 'brown': 0.299, 'blair': 0.272, 'stand': 0.217, 'peston': 0.204}"
193,"{'lse': 0.506, 'euronext': 0.394, 'boerse': 0.338, 'deutsche': 0.276, 'bid': 0.208}"
194,"{'gadget': 0.358, 'nintendo': 0.328, 'gaming': 0.268, 'sale': 0.218, 'device': 0.217}"
195,"{'pound': 0.595, 'pretty': 0.261, 'mother': 0.233, 'mp': 0.182, 'children': 0.172}"
196,"{'collection': 0.391, 'contemporary': 0.361, 'sale': 0.348, 'roy': 0.333, 'art': 0.295}"
197,"{'local': 0.4, 'dems': 0.307, 'lib': 0.289, 'results': 0.267, 'council': 0.262}"
198,"{'psp': 0.307, 'halo': 0.299, 'playstation': 0.278, 'sony': 0.229, 'japan': 0.216}"
199,"{'card': 0.498, 'fraud': 0.425, 'cards': 0.328, 'chip': 0.315, 'retail': 0.199}"
200,"{'holmes': 0.371, 'athletics': 0.335, 'dame': 0.27, 'athlete': 0.232, 'voted': 0.204}"
201,"{'china': 0.393, 'pc': 0.313, 'ibm': 0.312, 'profits': 0.24, 'sales': 0.191}"
202,"{'milan': 0.568, 'ferguson': 0.366, 'rooney': 0.224, 'nistelrooy': 0.154, 'champions': 0.154}"
203,"{'image': 0.635, 'resolution': 0.253, 'dutch': 0.24, 'researchers': 0.185, 'created': 0.184}"
204,"{'festival': 0.405, 'lewis': 0.338, 'berlin': 0.28, 'film': 0.267, 'day': 0.241}"
205,"{'fiat': 0.553, 'engines': 0.399, 'gm': 0.377, 'alfa': 0.363, 'unions': 0.217}"
206,"{'lib': 0.336, 'cable': 0.255, 'kennedy': 0.239, 'dems': 0.239, 'debt': 0.221}"
207,"{'blair': 0.356, 'answer': 0.284, 'trust': 0.273, 'talking': 0.265, 'integrity': 0.241}"
208,"{'reynolds': 0.454, 'tate': 0.352, 'owner': 0.27, 'exhibition': 0.199, 'storage': 0.18}"
209,"{'aragones': 0.609, 'fine': 0.328, 'racist': 0.272, 'spanish': 0.237, 'punishment': 0.231}"
210,"{'florida': 0.441, 'morrison': 0.366, 'university': 0.321, 'doors': 0.311, 'clean': 0.181}"
211,"{'embargo': 0.469, 'china': 0.326, 'straw': 0.32, 'arms': 0.26, 'code': 0.239}"
212,"{'chepkemei': 0.404, 'edinburgh': 0.305, 'cross': 0.257, 'susan': 0.242, 'radcliffe': 0.237}"
213,"{'douglas': 0.409, 'india': 0.395, 'indian': 0.344, 'adventure': 0.26, 'star': 0.252}"
214,"{'easterby': 0.36, 'humphreys': 0.338, 'callaghan': 0.169, 'gara': 0.169, 'changes': 0.169}"
215,"{'doubles': 0.649, 'mixed': 0.303, 'tennis': 0.186, 'singles': 0.185, 'events': 0.165}"
216,"{'bond': 0.397, 'actor': 0.348, 'scott': 0.284, 'bets': 0.28, 'odds': 0.25}"
217,"{'hewitt': 0.418, 'seed': 0.387, 'dent': 0.34, 'slams': 0.244, 'johansson': 0.227}"
218,"{'marriage': 0.338, 'rules': 0.302, 'register': 0.264, 'married': 0.251, 'office': 0.217}"
219,"{'fish': 0.498, 'fishing': 0.417, 'mps': 0.207, 'committee': 0.202, 'processors': 0.201}"
220,"{'ray': 0.491, 'dvd': 0.406, 'film': 0.366, 'oscar': 0.249, 'box': 0.177}"
221,"{'tour': 0.416, 'tournament': 0.341, 'kings': 0.32, 'prize': 0.312, 'foster': 0.236}"
222,"{'title': 0.321, 'jump': 0.277, 'mark': 0.247, 'qualifying': 0.233, 'gardener': 0.231}"
223,"{'hunting': 0.707, 'dogs': 0.384, 'offence': 0.215, 'animals': 0.211, 'chasing': 0.188}"
224,"{'airbus': 0.491, 'mandelson': 0.331, 'eu': 0.31, 'aircraft': 0.294, 'boeing': 0.252}"
225,"{'fox': 0.526, 'audience': 0.263, 'reality': 0.226, 'series': 0.213, 'episodes': 0.189}"
226,"{'broadband': 0.482, 'connection': 0.285, 'daily': 0.223, 'access': 0.223, 'dial': 0.17}"
227,"{'zealand': 0.611, 'wales': 0.336, 'blacks': 0.301, 'tourists': 0.201, 'cardiff': 0.195}"
228,"{'iptv': 0.628, 'viewer': 0.226, 'cable': 0.213, 'tv': 0.194, 'microsoft': 0.183}"
229,"{'wales': 0.382, 'france': 0.353, 'jones': 0.249, 'thomas': 0.2, 'williams': 0.184}"
230,"{'families': 0.395, 'square': 0.262, 'relatives': 0.243, 'missing': 0.222, 'independence': 0.2}"
231,"{'howard': 0.404, 'fox': 0.379, 'visits': 0.279, 'husband': 0.26, 'campaign': 0.213}"
232,"{'madrid': 0.433, 'arsenal': 0.365, 'real': 0.357, 'reyes': 0.305, 'happy': 0.188}"
233,"{'morris': 0.468, 'eye': 0.288, 'media': 0.27, 'cool': 0.206, 'tv': 0.198}"
234,"{'apple': 0.538, 'music': 0.339, 'itunes': 0.281, 'ipod': 0.266, 'format': 0.214}"
235,"{'growth': 0.354, 'consumer': 0.266, 'rate': 0.255, 'spending': 0.254, 'quarter': 0.242}"
236,"{'school': 0.373, 'satellite': 0.316, 'students': 0.288, 'project': 0.265, 'base': 0.226}"
237,"{'heineken': 0.477, 'profits': 0.361, 'euros': 0.287, 'sales': 0.251, 'western': 0.221}"
238,"{'venture': 0.365, 'united': 0.349, 'stake': 0.264, 'beer': 0.262, 'buy': 0.258}"
239,"{'machines': 0.541, 'cash': 0.502, 'banks': 0.291, 'windows': 0.274, 'viruses': 0.233}"
240,"{'sales': 0.48, 'retail': 0.431, 'november': 0.254, 'shoppers': 0.215, 'ons': 0.204}"
241,"{'qualifying': 0.334, 'sotherton': 0.326, 'aaas': 0.319, 'title': 0.269, 'european': 0.245}"
242,"{'china': 0.532, 'trade': 0.37, 'yen': 0.328, 'japan': 0.312, 'surplus': 0.225}"
243,"{'tindall': 0.467, 'england': 0.237, 'specialist': 0.208, 'surgery': 0.206, 'centre': 0.203}"
244,"{'plants': 0.258, 'buy': 0.235, 'presence': 0.229, 'swiss': 0.223, 'takeover': 0.203}"
245,"{'connell': 0.376, 'lions': 0.343, 'england': 0.311, 'ireland': 0.184, 'reports': 0.18}"
246,"{'music': 0.554, 'copyright': 0.305, 'lessons': 0.244, 'piracy': 0.225, 'schools': 0.194}"
